"","Individual","Eigenvector","timePeriod","Group","Sex","ADULT","Full Name","age.sex"
"1","CAL",0.429864792733203,1,"C","F","Y","Cali","F_Y"
"2","CEL",0.98742213297214,1,"C","F","N","Celeste","F_N"
"3","CHA",0.453168311081187,1,"C","F","Y","Chai","F_Y"
"4","CHL",1,1,"C","F","N","Chloe","F_N"
"5","CHP",0.933032994158973,1,"C","F","N","Chalupa","F_N"
"6","CLA",0.550293605023058,1,"C","M","Y","Clash","M_Y"
"7","COC",0.495956151471215,1,"C","F","Y","Coco","F_Y"
"8","COL",0.978543492251006,1,"C","M","N","Colugo","M_N"
"9","COR",0.692670423207586,1,"C","F","Y","Cora","F_Y"
"10","CRO",0.549810202736857,1,"C","M","Y","Chromeo","M_Y"
"11","CUZ",0.895548458128525,1,"C","M","Y","Cuzco","M_Y"
"12","GWN",0.403555414632367,1,"C","F","Y","Gwen","F_Y"
"13","GWW",0.99593930713491,1,"C","M","N","Gdubs","M_N"
"14","CAL",0.482029318120346,3,"C","F","Y","Cali","F_Y"
"15","CAS",0.756540719500987,3,"C","F","N","Cashu","F_N"
"16","CEL",0.991196805669568,3,"C","F","N","Celeste","F_N"
"17","CHA",0.385370732736089,3,"C","F","Y","Chai","F_Y"
"18","CHL",0.923058320768108,3,"C","F","N","Chloe","F_N"
"19","CHP",0.851143215693708,3,"C","F","N","Chalupa","F_N"
"20","CLA",0.61860901498078,3,"C","M","Y","Clash","M_Y"
"21","COL",1,3,"C","M","N","Colugo","M_N"
"22","COR",0.817842988059299,3,"C","F","Y","Cora","F_Y"
"23","CRO",0.598112269604973,3,"C","M","Y","Chromeo","M_Y"
"24","CUZ",0.935973890007183,3,"C","M","Y","Cuzco","M_Y"
"25","GWN",0.308876475779904,3,"C","F","Y","Gwen","F_Y"
"26","GWW",0.864026001342289,3,"C","M","N","Gdubs","M_N"
