"","Individual","Eigenvector","timePeriod","Group","Sex","ADULT","Full Name"
"1","CAL",0.34287994843201,2,"C","F","Y","Cali"
"2","CAS",0.619966825288061,2,"C","F","N","Cashu"
"3","CEL",0.951074990503746,2,"C","F","N","Celeste"
"4","CHA",0.300878138541809,2,"C","F","Y","Chai"
"5","CHL",0.818385974478168,2,"C","F","N","Chloe"
"6","CHP",0.957154751563061,2,"C","F","N","Chalupa"
"7","CLA",0.654892184016648,2,"C","M","Y","Clash"
"8","COL",0.967890535635231,2,"C","M","N","Colugo"
"9","COR",0.727161976271521,2,"C","F","Y","Cora"
"10","CRO",0.679279102026537,2,"C","M","Y","Chromeo"
"11","CUZ",0.88018891683435,2,"C","M","Y","Cuzco"
"12","GWN",0.561415537702675,2,"C","F","Y","Gwen"
"13","GWW",1,2,"C","M","N","Gdubs"
