"","Individual","Eigenvector","Group","Sex","ADULT","Full Name"
"1","CLP",0.392579035443603,"G","F","Y","Calliope"
"2","GAB",0.406617508939742,"G","F","N","Gabby"
"3","GAE",0.394989084966599,"G","M","Y","Gael"
"4","GAL",0.832599801401157,"G","F","Y","Gala"
"5","GDV",0.577699011300635,"G","F","Y","Godiva"
"6","GDW",0.602576512289134,"G","M","Y","Goodwin"
"7","GEM",0.81558704713304,"G","F","N","Gem"
"8","GIL",0.555222870482016,"G","F","Y","Gillian"
"9","GIN",0.608046707235612,"G","M","N","Gin"
"10","GIP",0.300119414089446,"G","M","Y","Gipmunk"
"11","GIS",0.839467208483157,"G","F","Y","Gisella"
"12","GIT",0.632140133129197,"G","F","Y","Gita"
"13","GIZ",0.788367963329921,"G","M","N","Gizmo"
"14","GMM",0.586458066284746,"G","F","Y","Gemima"
"15","GNG",0.953451022582392,"G","F","N","Ginger"
"16","GNO",0.86916665894405,"G","M","N","Gino"
"17","GOO",0.90375219791154,"G","M","N","Goose"
"18","GOR",0.554746294822996,"G","M","Y","Gordon"
"19","GRE",0.575013216724846,"G","F","Y","Greta"
"20","GRM",0.930622677595222,"G","M","N","Gremlin"
"21","GRY",0.523539995110076,"G","M","N","Grayson"
"22","GSP",1,"G","M","N","Gaspacho"
"23","GUS",0.673105758547097,"G","M","N","Gus"
