"","CAL","CAS","CEL","CHA","CHL","CHP","CLA","COC","COL","COR","CRO","CUZ","GWN","GWW"
"CAL",0,0.587311178247734,0.536168347216133,0.421692607003891,0.5753367003367,0.471213463241807,0.315024965955515,0.163695299837925,0.538703870387039,0.472311212814645,0.434053815615351,0.527754056362084,0.33785046728972,0.488563929508811
"CAS",0.587311178247734,0,0.449387199273718,0.421109902067465,0.445052631578947,0.391404805914972,0.282102131879028,0,0.449626865671642,0.428711897738446,0.310160427807487,0.414285714285714,0.231660231660232,0.36785046728972
"CEL",0.536168347216133,0.449387199273718,0,0.557589285714286,0.754478827361563,0.652358691032724,0.560612888688598,0.266294227188082,0.913106096975516,0.815259117082534,0.542845594179466,0.761155971100723,0.453582026282323,0.644073939833273
"CHA",0.421692607003891,0.421109902067465,0.557589285714286,0,0.586382978723404,0.783710895361381,0.429563492063492,0.23928157589803,0.541666666666667,0.497661365762395,0.432492253209385,0.558617672790901,0.309425287356322,0.515325670498084
"CHL",0.5753367003367,0.445052631578947,0.754478827361563,0.586382978723404,0,0.704667492771582,0.501216545012166,0.26075841499787,0.774044519109618,0.697762769100886,0.586854460093897,0.775212636695018,0.480823576907549,0.741429613420861
"CHP",0.471213463241807,0.391404805914972,0.652358691032724,0.783710895361381,0.704667492771582,0,0.52960372960373,0.259553349875931,0.653478260869565,0.609745194456862,0.583877995642701,0.671729957805907,0.45409762651142,0.639924670433145
"CLA",0.315024965955515,0.282102131879028,0.560612888688598,0.429563492063492,0.501216545012166,0.52960372960373,0,0.249556475458309,0.52643470402169,0.476522547652255,0.491635687732342,0.539834566826295,0.332389046270066,0.493348536678069
"COC",0.163695299837925,0,0.266294227188082,0.23928157589803,0.26075841499787,0.259553349875931,0.249556475458309,0,0.244685876239962,0.23502538071066,0.262538382804504,0.279890059551076,0.281750924784217,0.27185628742515
"COL",0.538703870387039,0.449626865671642,0.913106096975516,0.541666666666667,0.774044519109618,0.653478260869565,0.52643470402169,0.244685876239962,0,0.887697805002552,0.532019704433498,0.76171875,0.480956598759965,0.631000366434591
"COR",0.472311212814645,0.428711897738446,0.815259117082534,0.497661365762395,0.697762769100886,0.609745194456862,0.476522547652255,0.23502538071066,0.887697805002552,0,0.48444070647603,0.687226596675416,0.457328385899814,0.607034795763994
"CRO",0.434053815615351,0.310160427807487,0.542845594179466,0.432492253209385,0.586854460093897,0.583877995642701,0.491635687732342,0.262538382804504,0.532019704433498,0.48444070647603,0,0.601893783449979,0.342349957734573,0.616836542091355
"CUZ",0.527754056362084,0.414285714285714,0.761155971100723,0.558617672790901,0.775212636695018,0.671729957805907,0.539834566826295,0.279890059551076,0.76171875,0.687226596675416,0.601893783449979,0,0.493179880647911,0.699852507374631
"GWN",0.33785046728972,0.231660231660232,0.453582026282323,0.309425287356322,0.480823576907549,0.45409762651142,0.332389046270066,0.281750924784217,0.480956598759965,0.457328385899814,0.342349957734573,0.493179880647911,0,0.536489151873767
"GWW",0.488563929508811,0.36785046728972,0.644073939833273,0.515325670498084,0.741429613420861,0.639924670433145,0.493348536678069,0.27185628742515,0.631000366434591,0.607034795763994,0.616836542091355,0.699852507374631,0.536489151873767,0
