"","FIN","PAD","PAL","PEN","PET","PHO","PHY","PIP","PIT","POD","PRC","PRL","PRY","PTC","PTU"
"FIN",0,0.384347826086957,0.442114093959732,0.349794238683128,0.387923147301006,0.377902321857486,0.384494909945184,0.316760224538893,0.356093979441997,0.11400651465798,0.255424063116371,0.374177631578947,0.204895738893926,0.103078982597055,0.397486252945797
"PAD",0.384347826086957,0,0.386247256766642,0.460981496379726,0.432318104906937,0.50914876690533,0.395549174443647,0.367945823927765,0.454349388928828,0.211693548387097,0.29375,0.517666392769104,0.382001836547291,0.0638297872340425,0.454613095238095
"PAL",0.442114093959732,0.386247256766642,0,0.416180758017493,0.373584905660377,0.418360196215837,0.444211994421199,0.352573018080668,0.408912188728702,0.164767747589833,0.220759101471727,0.428364688856729,0.278996865203762,0.0513059701492537,0.607722007722008
"PEN",0.349794238683128,0.460981496379726,0.416180758017493,0,0.493138936535163,0.469033232628399,0.425912670007158,0.382222222222222,0.464639321074965,0.240079365079365,0.199519230769231,0.475856697819315,0.394075403949731,0.0848861283643892,0.380427291523088
"PET",0.387923147301006,0.432318104906937,0.373584905660377,0.493138936535163,0,0.379258137774413,0.433282208588957,0.395516413130504,0.454817027632562,0.196390658174098,0.249090909090909,0.368339768339768,0.352885525070956,0.0780885780885781,0.36231884057971
"PHO",0.377902321857486,0.50914876690533,0.418360196215837,0.469033232628399,0.379258137774413,0,0.460887949260042,0.374029640084686,0.463945578231293,0.195867026055705,0.256369426751592,0.570747217806041,0.468104222821204,0.0541549953314659,0.457342657342657
"PHY",0.384494909945184,0.395549174443647,0.444211994421199,0.425912670007158,0.433282208588957,0.460887949260042,0,0.38857938718663,0.529207232267038,0.202443280977312,0.27151799687011,0.45959595959596,0.3904052936311,0.073972602739726,0.493342676944639
"PIP",0.316760224538893,0.367945823927765,0.352573018080668,0.382222222222222,0.395516413130504,0.374029640084686,0.38857938718663,0,0.794805194805195,0.182247403210576,0.259663865546219,0.453639846743295,0.244995996797438,0.0468594217347956,0.435218324982104
"PIT",0.356093979441997,0.454349388928828,0.408912188728702,0.464639321074965,0.454817027632562,0.463945578231293,0.529207232267038,0.794805194805195,0,0.168404170008019,0.345971563981043,0.544452608376194,0.373926619828259,0.071733561058924,0.533657182512144
"POD",0.11400651465798,0.211693548387097,0.164767747589833,0.240079365079365,0.196390658174098,0.195867026055705,0.202443280977312,0.182247403210576,0.168404170008019,0,0.0807833537331701,0.21883920076118,0.197704081632653,0,0.141331142152835
"PRC",0.255424063116371,0.29375,0.220759101471727,0.199519230769231,0.249090909090909,0.256369426751592,0.27151799687011,0.259663865546219,0.345971563981043,0.0807833537331701,0,0.352212389380531,0.284940411700975,0.0878594249201278,0.240333586050038
"PRL",0.374177631578947,0.517666392769104,0.428364688856729,0.475856697819315,0.368339768339768,0.570747217806041,0.45959595959596,0.453639846743295,0.544452608376194,0.21883920076118,0.352212389380531,0,0.487323943661972,0.0757726819541376,0.45702005730659
"PRY",0.204895738893926,0.382001836547291,0.278996865203762,0.394075403949731,0.352885525070956,0.468104222821204,0.3904052936311,0.244995996797438,0.373926619828259,0.197704081632653,0.284940411700975,0.487323943661972,0,0.0822320117474303,0.334384858044164
"PTC",0.103078982597055,0.0638297872340425,0.0513059701492537,0.0848861283643892,0.0780885780885781,0.0541549953314659,0.073972602739726,0.0468594217347956,0.071733561058924,0,0.0878594249201278,0.0757726819541376,0.0822320117474303,0,0.0513728963684677
"PTU",0.397486252945797,0.454613095238095,0.607722007722008,0.380427291523088,0.36231884057971,0.457342657342657,0.493342676944639,0.435218324982104,0.533657182512144,0.141331142152835,0.240333586050038,0.45702005730659,0.334384858044164,0.0513728963684677,0
