ID,Group,Sex,ADULT,Full Name
CAL,C,F,Y,Cali
CAS,C,F,N,Cashu
CHA,C,F,Y,Chai
COC,C,F,Y,Coco
COR,C,F,Y,Cora
GWN,C,F,Y,Gwen
CLA,C,M,Y,Clash
CRO,C,M,Y,Chromeo
CHP,C,F,N,Chalupa
CHL,C,F,N,Chloe
COL,C,M,N,Colugo
GWW,C,M,N,Gdubs
CEL,C,F,N,Celeste
CUZ,C,M,Y,Cuzco
ROD,HP,M,Y,Rodman
ROX,HP,F,Y,Roxy
PAL,P,F,Y,Paleta
PTC,P,F,Y,Patsy
PRL,P,F,Y,Pearl
PEN,P,F,Y,Penelope
PHO,P,F,Y,Phoebe
PHY,P,F,Y,Pyllis
PIP,P,F,Y,Piper
PTU,P,F,Y,Petunia
FIN,P,M,Y,Finn
PRC,P,M,Y,Percy
PIT,P,F,N,Pita
PRY,P,F,N,Priya
PAD,P,M,Y,Paddy
POD,P,M,Y,Podrick
PET,P,M,Y,Pete
PAP,P,F,Y,
DSY,D,F,Y,Daisy
DAR,D,F,Y,Darlene
DLL,D,F,Y,Delilah
DIY,D,F,Y,Diya
OLV,D,F,Y,Olivia
DIG,D,M,Y,Digit
DOC,D,M,Y,Docket
DRE,D,M,N,Dre
DAN,D,F,N,Danerys
DLF,D,F,N,Delfin
DIT,D,M,N,Ditto
OLI,D,M,N,Oliver
DAX,D,M,N,Dax
DAO,D,M,Y,Dao
DAS,D,M,Y,Dash
DUK,D,M,Y,Duke
CLP,G,F,Y,Calliope
GUA,G,F,Y,
GAL,G,F,Y,Gala
GMM,G,F,Y,Gemima
GIL,G,F,Y,Gillian
GIS,G,F,Y,Gisella
GIT,G,F,Y,Gita
GDV,G,F,Y,Godiva
GRE,G,F,Y,Greta
GAE,G,M,Y,Gael
GDW,G,M,Y,Goodwin
GAR,G,M,Y,Gary
GIP,G,M,Y,Gipmunk
GOO,G,M,N,Goose
GSP,G,M,N,Gaspacho
GIN,G,M,N,Gin
GIZ,G,M,N,Gizmo
GRM,G,M,N,Gremlin
GOR,G,M,Y,Gordon
GAB,G,F,N,Gabby
GEM,G,F,N,Gem
GNG,G,F,N,Ginger
GRY,G,M,N,Grayson
GUS,G,M,N,Gus
ARA,A,M,Y,Aragon
GLA,G,F,Y,Gladys
GNO,G,M,N,Gino
